iter	Logloss
0	0.6922545515
1	0.6912888881
2	0.6904599871
3	0.689674421
4	0.6889859445
5	0.6881479318
6	0.6872478812
7	0.6864659337
8	0.6857390485
9	0.6849991281
10	0.6842329625
11	0.6837114171
12	0.6829668753
13	0.6821258545
14	0.6813199724
15	0.6805567278
16	0.679713222
17	0.6790495954
18	0.6783158221
19	0.6775385829
20	0.6766599819
21	0.6759614345
22	0.6751573835
23	0.6745023019
24	0.6737933786
25	0.6730804443
26	0.6723641096
27	0.6716077096
28	0.6708671352
29	0.6699914551
30	0.6693008859
31	0.6685187204
32	0.6678358677
33	0.6670628575
34	0.6663794817
35	0.6657599749
36	0.6651349749
37	0.6644765799
38	0.6638881138
39	0.6633127703
40	0.6625568063
41	0.6617474365
42	0.6612243652
43	0.660478908
44	0.6598545619
45	0.6592128209
46	0.6584777832
47	0.657875497
48	0.6571718052
49	0.6566688756
50	0.6560021101
51	0.655385655
52	0.6546183995
53	0.6539545986
54	0.6532684326
55	0.6526446969
56	0.6521405465
57	0.6515124512
58	0.650894383
59	0.6501466588
60	0.6495608085
61	0.6489800153
62	0.6483645194
63	0.6476489258
64	0.6469207764
65	0.6463408116
66	0.6457082694
67	0.6451775687
68	0.6446636963
69	0.6440601894
70	0.6434817069
71	0.6428186035
72	0.6420765032
73	0.64141619
74	0.6408960397
75	0.640164359
76	0.6397229004
77	0.6391493007
78	0.6385532052
79	0.6379693604
80	0.6373985073
81	0.6367619978
82	0.6361938041
83	0.6355282593
84	0.6350655692
85	0.6344078718
86	0.6338106864
87	0.6333265904
88	0.6327107021
89	0.6321267264
90	0.6315870013
91	0.6310676793
92	0.6305221558
93	0.629929548
94	0.6292437744
95	0.6286085728
96	0.6281276158
97	0.6277011544
98	0.6272158378
99	0.626646031
100	0.6260607038
101	0.6255174909
102	0.6250332206
103	0.6246649606
104	0.6242604719
105	0.6235903931
106	0.6231188529
107	0.6226393345
108	0.6221044922
109	0.6215994699
110	0.6209754726
111	0.6205327061
112	0.6200388009
113	0.6195501709
114	0.6190007673
115	0.6184558541
116	0.6178972517
117	0.6174094064
118	0.6167907715
119	0.616426566
120	0.6159143938
121	0.6153165545
122	0.6147159685
123	0.6140740095
124	0.613604344
125	0.6130128261
126	0.6125226266
127	0.6120812988
128	0.6114845494
129	0.6110613142
130	0.6105733817
131	0.6100864955
132	0.6095329939
133	0.6091397967
134	0.6085421317
135	0.6079261998
136	0.6074888829
137	0.60690482
138	0.6062657384
139	0.6056637137
140	0.6052165004
141	0.604778704
142	0.604354902
143	0.6039103481
144	0.6034157453
145	0.6029343523
146	0.6024818202
147	0.6021623012
148	0.6016392735
149	0.6009660993
150	0.6003503418
151	0.6000122506
152	0.5994543893
153	0.598918893
154	0.5984649658
155	0.5979181344
156	0.5973640224
157	0.5969676862
158	0.5964932687
159	0.5961002459
160	0.5957193429
161	0.5952866037
162	0.5948805019
163	0.5943434797
164	0.59390128
165	0.5935411726
166	0.5930521502
167	0.5925965227
168	0.5921875872
169	0.5917723737
170	0.5912737165
171	0.5908427211
172	0.5905141776
173	0.5901473563
174	0.5897032384
175	0.5891446359
176	0.5886711339
177	0.5881944493
178	0.5877391706
179	0.5873261806
180	0.5869415283
181	0.586484157
182	0.5860315813
183	0.5856665039
184	0.585159171
185	0.5847047642
186	0.5842284284
187	0.5837472534
188	0.5833023071
189	0.5829031372
190	0.5824398368
191	0.5820674351
192	0.5817582921
193	0.5814831107
194	0.5810161482
195	0.5805697196
196	0.580032959
197	0.5795166888
198	0.5791813442
199	0.5787088449
200	0.5781759208
201	0.5778125
202	0.5774731881
203	0.5770355225
204	0.5766797311
205	0.5763351004
206	0.5759570748
207	0.5755596488
208	0.5751971
209	0.5747779192
210	0.5743580845
211	0.5738923863
212	0.5735358974
213	0.5731265259
214	0.5727827672
215	0.5723302351
216	0.5719881766
217	0.57158238
218	0.5711644636
219	0.5706811523
220	0.5702724784
221	0.569781189
222	0.5693030657
223	0.5688497053
224	0.5683969988
225	0.5679933384
226	0.5676446533
227	0.5673005022
228	0.5670702253
229	0.5665922328
230	0.5661232213
231	0.5657594081
232	0.5654425485
233	0.5650651332
234	0.5647789219
235	0.5644831194
236	0.5641555786
237	0.5636994716
238	0.5633173479
239	0.562898734
240	0.5625514003
241	0.5621443394
242	0.5616943359
243	0.5613634382
244	0.5609683228
245	0.5606314959
246	0.5602896118
247	0.5599520438
248	0.5596308245
249	0.5592558943
250	0.5588194929
251	0.55843253
252	0.5580432129
253	0.5576985386
254	0.5571634783
255	0.5567976597
256	0.5564497158
257	0.5561771066
258	0.5558761161
259	0.5555519322
260	0.5552534703
261	0.5550154768
262	0.5547295271
263	0.5543214634
264	0.5539842006
265	0.553550851
266	0.5531669399
267	0.5527564348
268	0.5524076189
269	0.5520013864
270	0.5517344012
271	0.5513825335
272	0.5511508615
273	0.5507803781
274	0.5504120745
275	0.5501387242
276	0.5498522949
277	0.549513637
278	0.5491787284
279	0.5488434274
280	0.5485967146
281	0.5482732282
282	0.5478533936
283	0.5475394985
284	0.5470995222
285	0.5467517962
286	0.5463803537
287	0.5460599191
288	0.5457485962
289	0.5453338187
290	0.5450923811
291	0.5447528948
292	0.54449149
293	0.5441514369
294	0.5438548061
295	0.5435198975
296	0.5432721819
297	0.5429331752
298	0.5425425502
299	0.5422909982
300	0.5420040458
301	0.5415713501
302	0.5413262068
303	0.5410345459
304	0.5407921491
305	0.5404983521
306	0.5402351597
307	0.5398824637
308	0.5395901925
309	0.5394153268
310	0.5390750122
311	0.5387229701
312	0.5385155814
313	0.5381544713
314	0.5378719657
315	0.5376003592
316	0.5374184309
317	0.5370782471
318	0.5367076329
319	0.5364757865
320	0.5362657384
321	0.5359492711
322	0.535696106
323	0.5354779925
324	0.5350595965
325	0.5347398594
326	0.5344741385
327	0.5341110229
328	0.5338003976
329	0.533492606
330	0.5331767491
331	0.5328611973
332	0.532467259
333	0.5321587263
334	0.5318910435
335	0.5316474261
336	0.5313598633
337	0.5310913958
338	0.5307308524
339	0.5304027012
340	0.5300289917
341	0.5298076521
342	0.5295811244
343	0.5292989676
344	0.5288669695
345	0.5285736956
346	0.5282361276
347	0.5278776332
348	0.5276475307
349	0.5273709542
350	0.5269468471
351	0.5267324393
352	0.5264098685
353	0.5260430908
354	0.5258934239
355	0.5256425258
356	0.5254695347
357	0.5251695905
358	0.5248430525
359	0.5245243617
360	0.5242073713
361	0.5239367676
362	0.5236954607
363	0.52340768
364	0.5231406512
365	0.522941415
366	0.5226672799
367	0.5224413191
368	0.5221300398
369	0.5218401664
370	0.5216269357
371	0.5213222395
372	0.5211269706
373	0.5209036255
374	0.5205829293
375	0.5202757045
376	0.5200671387
377	0.5198474121
378	0.5195755005
379	0.5193355015
380	0.5190366037
381	0.5187544904
382	0.5184355382
383	0.5182160296
384	0.5180190168
385	0.5176264736
386	0.5173529053
387	0.5170628139
388	0.5168389457
389	0.5166778564
390	0.5163909476
391	0.516084028
392	0.5158824376
393	0.5156652832
394	0.5154392351
395	0.5151361084
396	0.5148852103
397	0.5145959473
398	0.5144245257
399	0.5141719709
400	0.5139307513
401	0.5137310355
402	0.5134586879
403	0.5132550485
404	0.513094526
405	0.5127658081
406	0.5125510951
407	0.5123095703
408	0.5119989014
409	0.5117816162
410	0.5115763201
411	0.5113305664
412	0.5112039185
413	0.5109797886
414	0.5107885742
415	0.5104894148
416	0.5102470616
417	0.5099988665
418	0.5097147042
419	0.5094849069
420	0.5092361014
421	0.5089702061
422	0.5087169102
423	0.5084809222
424	0.5081709072
425	0.5078706142
426	0.507655814
427	0.5074605015
428	0.5072046334
429	0.5068814523
430	0.5066416713
431	0.5064754813
432	0.5062601144
433	0.5060190255
434	0.5058621652
435	0.5056638445
436	0.5054423305
437	0.5051344517
438	0.5049121966
439	0.5046820504
440	0.5044311523
441	0.5042452567
442	0.5040256609
443	0.5038240269
444	0.5036128453
445	0.5033636475
446	0.5031424386
447	0.5029420689
448	0.5027450997
449	0.5025174822
450	0.5022578648
451	0.5020431083
452	0.5018231201
453	0.5016773769
454	0.5013840158
455	0.5011888777
